Date,Open,High,Low,Close,Adj Close,Volume,Market and Exchange Names,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Net_Position_NonComm,Net_Position_Comm,Net_Position_NonRept,COT_Index_NonComm,COT_Index_Comm,COT_Index_NonRept,COT_Index_OI,OI_Percentage_Comm,OI_Percentage_Short
2023-01-03,1.0671000480651855,1.0687999725341797,1.0535000562667847,1.0576499700546265,1.0576499700546265,1083,EURO FX - CHICAGO MERCANTILE EXCHANGE,,,,,,,,,,,,,,,,
2023-01-04,1.0560499429702759,1.0636500120162964,1.0554499626159668,1.0614999532699585,1.0614999532699585,755,EURO FX - CHICAGO MERCANTILE EXCHANGE,,,,,,,,,,,,,,,,
2023-01-05,1.0612000226974487,1.063599944114685,1.0525000095367432,1.0536999702453613,1.0536999702453613,648,EURO FX - CHICAGO MERCANTILE EXCHANGE,,,,,,,,,,,,,,,,
2023-01-06,1.0528000593185425,1.06535005569458,1.0490000247955322,1.0652999877929688,1.0652999877929688,801,EURO FX - CHICAGO MERCANTILE EXCHANGE,,,,,,,,,,,,,,,,
2023-01-09,1.066499948501587,1.07669997215271,1.0663000345230103,1.075700044631958,1.075700044631958,2470,EURO FX - CHICAGO MERCANTILE EXCHANGE,,,,,,,,,,,,,,,,
2023-01-10,1.0735000371932983,1.075700044631958,1.0714999437332153,1.0744999647140503,1.0744999647140503,684,EURO FX - CHICAGO MERCANTILE EXCHANGE,712030.0,222543.0,92628.0,389861.0,563942.0,85209.0,41043.0,129915.0,-174081.0,44166.0,,,,,,
2023-01-11,1.0748000144958496,1.0775500535964966,1.0730500221252441,1.07669997215271,1.07669997215271,901,EURO FX - CHICAGO MERCANTILE EXCHANGE,712030.0,222543.0,92628.0,389861.0,563942.0,85209.0,41043.0,129915.0,-174081.0,44166.0,,,,,,
2023-01-12,1.075850009918213,1.0866999626159668,1.0744500160217285,1.0850000381469727,1.0850000381469727,1622,EURO FX - CHICAGO MERCANTILE EXCHANGE,712030.0,222543.0,92628.0,389861.0,563942.0,85209.0,41043.0,129915.0,-174081.0,44166.0,,,,,,
2023-01-13,1.0868500471115112,1.0868500471115112,1.0786999464035034,1.0831999778747559,1.0831999778747559,294,EURO FX - CHICAGO MERCANTILE EXCHANGE,712030.0,222543.0,92628.0,389861.0,563942.0,85209.0,41043.0,129915.0,-174081.0,44166.0,,,,,,
2023-01-17,1.085800051689148,1.0884499549865723,1.080899953842163,1.0813499689102173,1.0813499689102173,856,EURO FX - CHICAGO MERCANTILE EXCHANGE,746163.0,238623.0,103641.0,400775.0,582985.0,91275.0,44047.0,134982.0,-182210.0,47228.0,,,,,,
2023-01-18,1.0804500579833984,1.0903500318527222,1.078950047492981,1.0815500020980835,1.0815500020980835,255,EURO FX - CHICAGO MERCANTILE EXCHANGE,746163.0,238623.0,103641.0,400775.0,582985.0,91275.0,44047.0,134982.0,-182210.0,47228.0,,,,,,
2023-01-19,1.0800000429153442,1.0848499536514282,1.0800000429153442,1.0848499536514282,1.0848499536514282,998,EURO FX - CHICAGO MERCANTILE EXCHANGE,746163.0,238623.0,103641.0,400775.0,582985.0,91275.0,44047.0,134982.0,-182210.0,47228.0,,,,,,
2023-01-20,1.0853500366210938,1.0873500108718872,1.0833499431610107,1.087049961090088,1.087049961090088,90,EURO FX - CHICAGO MERCANTILE EXCHANGE,746163.0,238623.0,103641.0,400775.0,582985.0,91275.0,44047.0,134982.0,-182210.0,47228.0,,,,,,
2023-01-23,1.0887000560760498,1.0934499502182007,1.0864499807357788,1.0873500108718872,1.0873500108718872,409,EURO FX - CHICAGO MERCANTILE EXCHANGE,746163.0,238623.0,103641.0,400775.0,582985.0,91275.0,44047.0,134982.0,-182210.0,47228.0,,,,,,
2023-01-24,1.0888500213623047,1.0911999940872192,1.0852500200271606,1.089900016784668,1.089900016784668,252,EURO FX - CHICAGO MERCANTILE EXCHANGE,753915.0,228279.0,101295.0,416510.0,595584.0,94476.0,42386.0,126984.0,-179074.0,52090.0,,,,,,
2023-01-25,1.0901000499725342,1.0934499502182007,1.087249994277954,1.092900037765503,1.092900037765503,187,EURO FX - CHICAGO MERCANTILE EXCHANGE,753915.0,228279.0,101295.0,416510.0,595584.0,94476.0,42386.0,126984.0,-179074.0,52090.0,,,,,,
2023-01-26,1.0932999849319458,1.09375,1.086300015449524,1.0900499820709229,1.0900499820709229,254,EURO FX - CHICAGO MERCANTILE EXCHANGE,753915.0,228279.0,101295.0,416510.0,595584.0,94476.0,42386.0,126984.0,-179074.0,52090.0,,,,,,
2023-01-27,1.090749979019165,1.0908499956130981,1.0850499868392944,1.0880500078201294,1.0880500078201294,239,EURO FX - CHICAGO MERCANTILE EXCHANGE,753915.0,228279.0,101295.0,416510.0,595584.0,94476.0,42386.0,126984.0,-179074.0,52090.0,,,,,,
2023-01-30,1.087649941444397,1.0923000574111938,1.0850499868392944,1.0857000350952148,1.0857000350952148,426,EURO FX - CHICAGO MERCANTILE EXCHANGE,777569.0,237743.0,103394.0,429253.0,615703.0,96793.0,44692.0,134349.0,-186450.0,52101.0,,,,,,
2023-01-31,1.0860999822616577,1.0883500576019287,1.0812000036239624,1.0872999429702759,1.0872999429702759,478,EURO FX - CHICAGO MERCANTILE EXCHANGE,777569.0,237743.0,103394.0,429253.0,615703.0,96793.0,44692.0,134349.0,-186450.0,52101.0,,,,,,
2023-02-01,1.0867999792099,1.1013000011444092,1.0866999626159668,1.0986499786376953,1.0986499786376953,1193,EURO FX - CHICAGO MERCANTILE EXCHANGE,777569.0,237743.0,103394.0,429253.0,615703.0,96793.0,44692.0,134349.0,-186450.0,52101.0,,,,,,
2023-02-02,1.1014000177383423,1.1031999588012695,1.0893499851226807,1.0914499759674072,1.0914499759674072,557,EURO FX - CHICAGO MERCANTILE EXCHANGE,777569.0,237743.0,103394.0,429253.0,615703.0,96793.0,44692.0,134349.0,-186450.0,52101.0,,,,,,
2023-02-03,1.0902999639511108,1.0942000150680542,1.080199956893921,1.0809500217437744,1.0809500217437744,601,EURO FX - CHICAGO MERCANTILE EXCHANGE,777569.0,237743.0,103394.0,429253.0,615703.0,96793.0,44692.0,134349.0,-186450.0,52101.0,,,,,,
2023-02-06,1.07955002784729,1.0800000429153442,1.0714999437332153,1.0729000568389893,1.0729000568389893,437,EURO FX - CHICAGO MERCANTILE EXCHANGE,796738.0,246755.0,96246.0,440756.0,644345.0,95671.0,42591.0,150509.0,-203589.0,53080.0,,,,,,
2023-02-07,1.0737500190734863,1.0769000053405762,1.0684499740600586,1.072350025177002,1.072350025177002,717,EURO FX - CHICAGO MERCANTILE EXCHANGE,796738.0,246755.0,96246.0,440756.0,644345.0,95671.0,42591.0,150509.0,-203589.0,53080.0,,,,,,
2023-02-08,1.0734000205993652,1.076300024986267,1.0713499784469604,1.072700023651123,1.072700023651123,677,EURO FX - CHICAGO MERCANTILE EXCHANGE,796738.0,246755.0,96246.0,440756.0,644345.0,95671.0,42591.0,150509.0,-203589.0,53080.0,,,,,,
2023-02-09,1.0717999935150146,1.079200029373169,1.0714499950408936,1.0738999843597412,1.0738999843597412,419,EURO FX - CHICAGO MERCANTILE EXCHANGE,796738.0,246755.0,96246.0,440756.0,644345.0,95671.0,42591.0,150509.0,-203589.0,53080.0,,,,,,
2023-02-10,1.073349952697754,1.0743999481201172,1.0666999816894531,1.0673999786376953,1.0673999786376953,739,EURO FX - CHICAGO MERCANTILE EXCHANGE,796738.0,246755.0,96246.0,440756.0,644345.0,95671.0,42591.0,150509.0,-203589.0,53080.0,,,,,,
