"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240123,2024-01-23,001602,CBT ,00,001 ,  409879,  109590,  152372,  119202,  150290,  100961,  379082,  372535,   30797,   37344,  271489,  112566,  122841,   58914,   76872,   63808,  248352,  245563,   23137,   25926,  138390,   42019,   74526,   15293,   73418,   37153,  130730,  126972,    7660,   11418,    9554,     369,   -3460,   11536,   -2745,    1990,    9160,   10066,     394,    -512,  100.0,   26.7,   37.2,   29.1,   36.7,   24.6,   92.5,   90.9,    7.5,    9.1,  100.0,   41.5,   45.2,   21.7,   28.3,   23.5,   91.5,   90.5,    8.5,    9.5,  100.0,   30.4,   53.9,   11.1,   53.1,   26.8,   94.5,   91.7,    5.5,    8.3,    355,     97,    117,    117,    100,     95,    275,    269,    333,    112,    102,     80,     79,     80,    226,    229,    228,     58,     71,     42,     60,     69,    146,    157,    11.0,    12.9,    19.6,    21.2,     9.6,     8.8,    15.7,    14.6,    11.9,    12.8,    20.6,    21.7,     9.2,    11.6,    16.0,    19.0,    24.9,    30.2,    40.3,    41.5,    24.7,    29.9,    40.1,    37.7,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240116,2024-01-16,001602,CBT ,00,001 ,  400325,  109221,  155832,  107666,  153035,   98971,  369922,  362469,   30403,   37856,  264765,  115238,  127902,   46608,   80063,   63311,  241909,  237821,   22856,   26944,  135560,   39246,   73193,   15795,   72972,   35660,  128013,  124648,    7547,   10912,   26638,    1541,   14762,    9335,   14475,    2843,   25351,   26940,    1287,    -302,  100.0,   27.3,   38.9,   26.9,   38.2,   24.7,   92.4,   90.5,    7.6,    9.5,  100.0,   43.5,   48.3,   17.6,   30.2,   23.9,   91.4,   89.8,    8.6,   10.2,  100.0,   29.0,   54.0,   11.7,   53.8,   26.3,   94.4,   92.0,    5.6,    8.0,    355,    100,    120,    111,    101,     91,    272,    265,    334,    109,    103,     78,     83,     83,    228,    232,    220,     58,     68,     39,     60,     60,    146,    142,    11.0,    13.1,    19.4,    21.7,     9.9,     8.7,    16.3,    15.1,    12.1,    13.2,    21.4,    22.4,     9.7,    11.8,    17.7,    19.6,    24.9,    30.7,    40.8,    43.7,    24.9,    30.4,    40.8,    39.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240109,2024-01-09,001602,CBT ,00,001 ,  373687,  107680,  141070,   98331,  138560,   96128,  344571,  335529,   29116,   38158,  247152,  112453,  117477,   41407,   71110,   60893,  224970,  219777,   22182,   27375,  126535,   38503,   66869,   13648,   67450,   35235,  119601,  115752,    6934,   10783,    7380,    -619,    -846,    5641,     209,   -1447,    5231,    3348,    2149,    4032,  100.0,   28.8,   37.8,   26.3,   37.1,   25.7,   92.2,   89.8,    7.8,   10.2,  100.0,   45.5,   47.5,   16.8,   28.8,   24.6,   91.0,   88.9,    9.0,   11.1,  100.0,   30.4,   52.8,   10.8,   53.3,   27.8,   94.5,   91.5,    5.5,    8.5,    342,    100,    110,    115,     97,     90,    271,    257,    323,    109,     96,     77,     78,     84,    224,    224,    218,     57,     67,     40,     56,     60,    139,    145,    11.1,    13.6,    19.9,    22.3,    10.1,     9.0,    17.2,    15.2,    13.0,    13.3,    23.0,    22.2,    10.6,    12.3,    18.9,    20.4,    24.4,    31.4,    40.9,    43.4,    24.4,    31.1,    40.9,    39.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",240102,2024-01-02,001602,CBT ,00,001 ,  366307,  108299,  141916,   92690,  138351,   97575,  339340,  332181,   26967,   34126,  249433,  114357,  123103,   37126,   77120,   64494,  228603,  224723,   20830,   24710,  116874,   35960,   60831,   13546,   61231,   33081,  110737,  107458,    6137,    9416,    4257,    4073,    6279,   -1909,    3810,    1558,    5974,    5928,   -1717,   -1671,  100.0,   29.6,   38.7,   25.3,   37.8,   26.6,   92.6,   90.7,    7.4,    9.3,  100.0,   45.8,   49.4,   14.9,   30.9,   25.9,   91.6,   90.1,    8.4,    9.9,  100.0,   30.8,   52.0,   11.6,   52.4,   28.3,   94.7,   91.9,    5.3,    8.1,    345,    104,    113,    122,     95,     91,    274,    264,    328,    107,    103,     85,     77,     85,    231,    232,    214,     47,     70,     41,     55,     61,    132,    148,    11.0,    14.1,    20.3,    22.4,     9.9,     8.8,    16.5,    15.6,    13.4,    12.5,    23.5,    22.0,    10.8,    12.2,    19.5,    20.4,    25.5,    32.8,    42.3,    45.2,    25.5,    32.5,    42.3,    41.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240123,2024-01-23,001612,CBT ,00,001 ,  227673,   56356,   82443,   62283,   90713,   62763,  209352,  207489,   18321,   20184,  156214,   68596,   74320,   28604,   45456,   38920,  142656,  141844,   13558,   14370,   71459,   12050,   32413,    9389,   45257,   23843,   66696,   65645,    4763,    5814,    8013,     626,   -1334,    5407,    2446,    5682,    8479,    9755,    -466,   -1742,  100.0,   24.8,   36.2,   27.4,   39.8,   27.6,   92.0,   91.1,    8.0,    8.9,  100.0,   43.9,   47.6,   18.3,   29.1,   24.9,   91.3,   90.8,    8.7,    9.2,  100.0,   16.9,   45.4,   13.1,   63.3,   33.4,   93.3,   91.9,    6.7,    8.1,    210,     59,     65,     64,     68,     64,    164,    159,    200,     64,     55,     45,     54,     54,    136,    136,    143,     35,     36,     24,     50,     48,     97,     97,    19.2,    16.5,    30.4,    27.0,    16.3,    14.9,    23.4,    23.6,    20.8,    21.2,    35.2,    34.1,    18.4,    21.1,    31.0,    33.2,    26.3,    24.5,    41.4,    38.4,    21.6,    22.7,    34.0,    31.4,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240116,2024-01-16,001612,CBT ,00,001 ,  219660,   55730,   83777,   56876,   88267,   57081,  200873,  197734,   18787,   21926,  151718,   63768,   71424,   27702,   46552,   35908,  138022,  135034,   13696,   16684,   67942,   13636,   34027,    7500,   41715,   21173,   62851,   62700,    5091,    5242,    5174,    1204,    6520,    3067,    1801,   -6964,    6072,    2623,    -898,    2551,  100.0,   25.4,   38.1,   25.9,   40.2,   26.0,   91.4,   90.0,    8.6,   10.0,  100.0,   42.0,   47.1,   18.3,   30.7,   23.7,   91.0,   89.0,    9.0,   11.0,  100.0,   20.1,   50.1,   11.0,   61.4,   31.2,   92.5,   92.3,    7.5,    7.7,    203,     50,     68,     58,     67,     64,    155,    153,    195,     60,     52,     44,     53,     54,    132,    131,    137,     29,     34,     22,     51,     48,     94,     91,    21.2,    17.1,    32.5,    28.2,    16.7,    15.2,    24.0,    23.5,    21.8,    22.3,    35.4,    34.7,    19.1,    20.9,    30.3,    31.5,    30.4,    26.0,    44.8,    40.2,    27.1,    24.3,    39.5,    34.4,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240109,2024-01-09,001612,CBT ,00,001 ,  214486,   54526,   77257,   53809,   86466,   64045,  194801,  195111,   19685,   19375,  153095,   63526,   68708,   26290,   48568,   43367,  138384,  138365,   14711,   14730,   61391,   10962,   28511,    7557,   37898,   20678,   56417,   56746,    4974,    4645,    3320,    1499,    1652,   -2986,    3474,    4609,    1987,    3275,    1333,      45,  100.0,   25.4,   36.0,   25.1,   40.3,   29.9,   90.8,   91.0,    9.2,    9.0,  100.0,   41.5,   44.9,   17.2,   31.7,   28.3,   90.4,   90.4,    9.6,    9.6,  100.0,   17.9,   46.4,   12.3,   61.7,   33.7,   91.9,   92.4,    8.1,    7.6,    211,     55,     64,     60,     68,     69,    159,    160,    205,     60,     58,     40,     57,     57,    133,    139,    140,     28,     36,     26,     48,     51,     94,     97,    20.8,    17.2,    32.0,    29.2,    16.3,    15.5,    23.1,    23.9,    21.6,    21.7,    34.8,    35.4,    19.0,    20.6,    30.0,    32.0,    31.2,    29.5,    44.9,    46.0,    27.7,    28.0,    39.7,    38.4,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",240102,2024-01-02,001612,CBT ,00,001 ,  211166,   53027,   75605,   56795,   82992,   59436,  192814,  191836,   18352,   19330,  153794,   60530,   68848,   30222,   49089,   39746,  139841,  138816,   13953,   14978,   57372,   11878,   26138,    7192,   33903,   19690,   52973,   53020,    4399,    4352,    5739,   -5570,   -1850,    4398,    7567,    3175,    6395,    5723,    -656,      16,  100.0,   25.1,   35.8,   26.9,   39.3,   28.1,   91.3,   90.8,    8.7,    9.2,  100.0,   39.4,   44.8,   19.7,   31.9,   25.8,   90.9,   90.3,    9.1,    9.7,  100.0,   20.7,   45.6,   12.5,   59.1,   34.3,   92.3,   92.4,    7.7,    7.6,    213,     56,     58,     60,     66,     69,    157,    158,    207,     60,     55,     41,     57,     59,    133,    139,    139,     28,     32,     26,     46,     54,     91,     98,    21.8,    18.5,    32.9,    30.1,    15.3,    15.5,    22.1,    23.6,    22.1,    23.0,    34.7,    35.8,    18.2,    20.3,    29.0,    30.3,    33.1,    31.1,    46.4,    48.3,    29.3,    29.6,    42.0,    40.8,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",240123,2024-01-23,001626,MGE ,00,001 ,   65868,    6769,   35264,    7874,   41702,   13016,   56345,   56154,    9523,    9714,   59624,    8262,   34823,    6326,   35966,    9898,   50554,   51047,    9070,    8577,    6244,       7,    1941,      48,    5736,    3118,    5791,    5107,     453,    1137,    2487,    2497,    2255,    -113,     129,    1167,    2513,    3309,     -26,    -822,  100.0,   10.3,   53.5,   12.0,   63.3,   19.8,   85.5,   85.3,   14.5,   14.7,  100.0,   13.9,   58.4,   10.6,   60.3,   16.6,   84.8,   85.6,   15.2,   14.4,  100.0,    0.1,   31.1,    0.8,   91.9,   49.9,   92.7,   81.8,    7.3,   18.2,    116,     20,     32,     20,     55,     37,     85,     83,    116,     25,     31,     17,     54,     32,     84,     75,     54,      2,     16,      4,     22,     20,     28,     36,    17.9,    27.8,    31.0,    39.4,    14.9,    27.8,    25.6,    37.2,    19.4,    30.7,    31.5,    42.8,    16.4,    30.7,    27.4,    41.0,    59.6,    30.3,    76.6,    47.8,    59.6,    27.5,    76.6,    44.4,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
"WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE",240116,2024-01-16,001626,MGE ,00,001 ,   63381,    4272,   33009,    7987,   41573,   11849,   53832,   52845,    9549,   10536,   57638,    5369,   32749,    6850,   36384,    8782,   48603,   48381,    9035,    9257,    5743,       3,    1360,      37,    5189,    3067,    5229,    4464,     514,    1279,    2449,     -64,    2039,    -171,    2278,     619,    2043,    2487,     406,     -38,  100.0,    6.7,   52.1,   12.6,   65.6,   18.7,   84.9,   83.4,   15.1,   16.6,  100.0,    9.3,   56.8,   11.9,   63.1,   15.2,   84.3,   83.9,   15.7,   16.1,  100.0,    0.1,   23.7,    0.6,   90.4,   53.4,   91.0,   77.7,    8.9,   22.3,    112,     13,     34,     21,     54,     40,     80,     86,    112,     18,     33,     19,     53,     37,     79,     81,     48,      1,     12,      4,     19,     20,     24,     32,    20.6,    26.8,    35.0,    38.6,    17.2,    25.6,    28.0,    34.8,    22.5,    29.3,    35.1,    41.9,    19.6,    28.2,    29.7,    38.3,    60.6,    32.6,    78.5,    48.3,    60.6,    29.0,    78.5,    44.6,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 "
