time,open,high,low,close,volume,low_time,high_time
2020-01-02 01:00:00,1.12142,1.12217,1.12142,1.12189,523,2020-01-02 01:00:00,2020-01-02 01:32:00
2020-01-02 02:00:00,1.12189,1.12192,1.12157,1.12184,505,2020-01-02 02:23:00,2020-01-02 02:04:00
2020-01-02 03:00:00,1.12183,1.12245,1.12181,1.12211,762,2020-01-02 03:57:00,2020-01-02 03:20:00
2020-01-02 04:00:00,1.12209,1.12246,1.12184,1.12224,523,2020-01-02 04:14:00,2020-01-02 04:51:00
2020-01-02 05:00:00,1.12226,1.12232,1.12126,1.12134,606,2020-01-02 05:52:00,2020-01-02 05:06:00
2020-01-02 06:00:00,1.12134,1.12145,1.1201,1.12013,663,2020-01-02 06:58:00,2020-01-02 06:19:00
2020-01-02 07:00:00,1.12012,1.12044,1.1201,1.12044,738,2020-01-02 07:16:00,2020-01-02 07:59:00
2020-01-02 08:00:00,1.12044,1.12077,1.12038,1.12068,696,2020-01-02 08:31:00,2020-01-02 08:49:00
2020-01-02 09:00:00,1.12078,1.12103,1.12044,1.12099,1435,2020-01-02 09:31:00,2020-01-02 09:53:00
2020-01-02 10:00:00,1.121,1.12136,1.12053,1.1212,1555,2020-01-02 10:09:00,2020-01-02 10:02:00
2020-01-02 11:00:00,1.12115,1.12141,1.12013,1.12032,1236,2020-01-02 11:56:00,2020-01-02 11:03:00
2020-01-02 12:00:00,1.12031,1.1204,1.11929,1.11984,1184,2020-01-02 12:29:00,2020-01-02 12:01:00
2020-01-02 13:00:00,1.11983,1.12023,1.11843,1.11848,1486,2020-01-02 13:57:00,2020-01-02 13:09:00
2020-01-02 14:00:00,1.11848,1.11944,1.11831,1.11931,1236,2020-01-02 14:01:00,2020-01-02 14:40:00
2020-01-02 15:00:00,1.11929,1.11971,1.11897,1.11964,1558,2020-01-02 15:43:00,2020-01-02 15:59:00
2020-01-02 16:00:00,1.11964,1.11965,1.11702,1.11743,2341,2020-01-02 16:52:00,2020-01-02 16:00:00
2020-01-02 17:00:00,1.11742,1.12023,1.11711,1.12006,2843,2020-01-02 17:26:00,2020-01-02 17:59:00
2020-01-02 18:00:00,1.12006,1.1203,1.11653,1.11663,2289,2020-01-02 18:55:00,2020-01-02 18:01:00
2020-01-02 19:00:00,1.11663,1.11718,1.11637,1.11699,1336,2020-01-02 19:16:00,2020-01-02 19:35:00
2020-01-02 20:00:00,1.11699,1.11723,1.11638,1.11702,1125,2020-01-02 20:15:00,2020-01-02 20:43:00
2020-01-02 21:00:00,1.11703,1.11704,1.11644,1.11667,1052,2020-01-02 21:57:00,2020-01-02 21:01:00
2020-01-02 22:00:00,1.11663,1.11717,1.11661,1.11694,1016,2020-01-02 22:00:00,2020-01-02 22:27:00
2020-01-02 23:00:00,1.11694,1.11736,1.11691,1.11715,401,2020-01-02 23:02:00,2020-01-02 23:27:00
2020-01-03 00:00:00,1.11718,1.11729,1.11688,1.11715,277,2020-01-03 00:15:00,2020-01-03 00:34:00
2020-01-03 01:00:00,1.11715,1.11736,1.11703,1.11709,341,2020-01-03 01:49:00,2020-01-03 01:30:00
2020-01-03 02:00:00,1.1171,1.11761,1.11699,1.11756,430,2020-01-03 02:00:00,2020-01-03 02:57:00
2020-01-03 03:00:00,1.11755,1.11786,1.11724,1.11737,787,2020-01-03 03:46:00,2020-01-03 03:19:00
2020-01-03 04:00:00,1.11737,1.11776,1.1172,1.11725,1332,2020-01-03 04:59:00,2020-01-03 04:30:00
2020-01-03 05:00:00,1.11727,1.11737,1.11696,1.11719,899,2020-01-03 05:23:00,2020-01-03 05:55:00
2020-01-03 06:00:00,1.11722,1.1175,1.11687,1.11701,681,2020-01-03 06:57:00,2020-01-03 06:07:00
2020-01-03 07:00:00,1.11701,1.11706,1.11645,1.11665,995,2020-01-03 07:26:00,2020-01-03 07:01:00
2020-01-03 08:00:00,1.11665,1.11696,1.11641,1.11693,840,2020-01-03 08:03:00,2020-01-03 08:52:00
2020-01-03 09:00:00,1.11693,1.11716,1.11522,1.11532,2260,2020-01-03 09:53:00,2020-01-03 09:09:00
2020-01-03 10:00:00,1.11533,1.11606,1.11507,1.11513,2007,2020-01-03 10:51:00,2020-01-03 10:28:00
2020-01-03 11:00:00,1.11513,1.11524,1.11401,1.11402,1879,2020-01-03 11:59:00,2020-01-03 11:04:00
2020-01-03 12:00:00,1.11402,1.11435,1.11308,1.11361,1993,2020-01-03 12:39:00,2020-01-03 12:01:00
2020-01-03 13:00:00,1.11361,1.11361,1.11251,1.11301,1658,2020-01-03 13:48:00,2020-01-03 13:00:00
2020-01-03 14:00:00,1.11301,1.11427,1.11283,1.11392,1482,2020-01-03 14:08:00,2020-01-03 14:46:00
2020-01-03 15:00:00,1.11392,1.11488,1.11374,1.11384,1694,2020-01-03 15:55:00,2020-01-03 15:22:00
2020-01-03 16:00:00,1.11382,1.11542,1.11354,1.11525,1901,2020-01-03 16:02:00,2020-01-03 16:48:00
2020-01-03 17:00:00,1.11524,1.11674,1.11524,1.11635,2852,2020-01-03 17:00:00,2020-01-03 17:55:00
2020-01-03 18:00:00,1.11635,1.11799,1.11626,1.1172,1908,2020-01-03 18:03:00,2020-01-03 18:34:00
2020-01-03 19:00:00,1.11721,1.11741,1.1168,1.11721,1186,2020-01-03 19:41:00,2020-01-03 19:03:00
2020-01-03 20:00:00,1.11722,1.11733,1.11661,1.11667,1507,2020-01-03 20:59:00,2020-01-03 20:08:00
2020-01-03 21:00:00,1.11665,1.11682,1.11614,1.11676,1521,2020-01-03 21:22:00,2020-01-03 21:01:00
2020-01-03 22:00:00,1.11676,1.11676,1.11602,1.11616,832,2020-01-03 22:53:00,2020-01-03 22:00:00
2020-01-03 23:00:00,1.11614,1.1162,1.11524,1.11559,535,2020-01-03 23:52:00,2020-01-03 23:01:00
2020-01-06 00:00:00,1.11642,1.11659,1.11589,1.11594,256,2020-01-06 00:17:00,2020-01-06 00:05:00
2020-01-06 01:00:00,1.11598,1.11676,1.11593,1.11605,1230,2020-01-06 01:00:00,2020-01-06 01:30:00
2020-01-06 02:00:00,1.11602,1.11684,1.11601,1.11636,1160,2020-01-06 02:00:00,2020-01-06 02:36:00
2020-01-06 03:00:00,1.11636,1.11655,1.11614,1.11629,914,2020-01-06 03:37:00,2020-01-06 03:08:00
2020-01-06 04:00:00,1.11629,1.11671,1.11625,1.11655,614,2020-01-06 04:21:00,2020-01-06 04:35:00
2020-01-06 05:00:00,1.11656,1.11711,1.11654,1.1166,718,2020-01-06 05:00:00,2020-01-06 05:32:00
2020-01-06 06:00:00,1.1166,1.11662,1.11617,1.11644,582,2020-01-06 06:51:00,2020-01-06 06:10:00
2020-01-06 07:00:00,1.11644,1.11652,1.11607,1.11624,475,2020-01-06 07:50:00,2020-01-06 07:00:00
2020-01-06 08:00:00,1.11625,1.11625,1.11573,1.11609,777,2020-01-06 08:19:00,2020-01-06 08:00:00
2020-01-06 09:00:00,1.11609,1.11668,1.116,1.11646,1455,2020-01-06 09:19:00,2020-01-06 09:55:00
2020-01-06 10:00:00,1.11652,1.118,1.11634,1.11788,1927,2020-01-06 10:15:00,2020-01-06 10:59:00
2020-01-06 11:00:00,1.11788,1.11936,1.11753,1.11934,1848,2020-01-06 11:22:00,2020-01-06 11:59:00
2020-01-06 12:00:00,1.11934,1.11997,1.119,1.11964,1530,2020-01-06 12:08:00,2020-01-06 12:24:00
2020-01-06 13:00:00,1.11964,1.12056,1.11963,1.12033,1623,2020-01-06 13:00:00,2020-01-06 13:32:00
